SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
4,0,1.01499999999999,0.038239500000001,-0.140000000000001,0,-0.059999999999999,0,0.004206345,-0.03125,-0.030000000000001,0,0,0,6.6666666659,67,320
3.9,0,1.05500000000001,0.034543015,-0.07,0,-0.02,0,0.02447328,-0.0078125,-0.010000000000002,0,1,0,7.843137254,66,321
2.3,0,0.530000000000001,0.01070706,-0.029999999999999,0,-0.239999999999998,0,0.005226065,-0.2578125,-0.260000000000002,0,1,0,6.6666666659,66,322
4.1,0,0.889999999999986,0.036327525,-0.290000000000001,0,0.050000000000001,0,-0.014913405,0.03125,0.030000000000001,-0.699999999999989,1,0,3.921568627,65,323
2.9,0,0.740000000000009,0.02472821,-0.620000000000001,0,-1.34,0,-0.04104373,-1.296875,-1.3,-1.40000000000001,1,0,0,63,324
2.1,0,0.439999999999998,0.030719065000001,-0.710000000000001,0,-0.170000000000002,8,-0.04563247,-0.1171875,-0.120000000000001,0.199999999999989,1,0,0,60,325
5,4,0.935000000000002,0.03670992,-1.32,1,1.34,25,-0.12007203,1.421875,1.42,2,1,0,0,56,326
11.1,0,2.82499999999999,0.101844535,-1.56,1,2.35,29,-0.138554455,2.390625,2.39,4.59999999999999,1,0,0,50,327
7.2,0,1.38999999999999,0.07036068,-1.86,1,0.719999999999999,35,-0.15244814,0.6328125,0.629999999999999,-0.199999999999989,1,0,0,43,328
0.5,12,0.259999999999991,0.061565595,-2.29,1,-1.26,46,-0.21745529,-1.4375,-1.43,-2.69999999999999,1,0,0,36,329
-11.6,0,-2.30500000000001,0.0305916,-2.45,1,-1.96,44,-0.220132055,-1.8828125,-1.88,-3.09999999999999,1,0,0,27,330
-1.7,8,-0.159999999999997,0.069213495,-2.21,1,0.300000000000001,41,-0.190305245,0.296875,0.300000000000001,0.400000000000006,1,0,0,18,331
-1.7,0,-0.02000000000001,0.069978285,-1.94,1,-0.02,34,-0.14123122,-0.0390625,-0.039999999999999,0,1,0,0,11,332
-1.7,0,0.004999999999995,0.072017725,-1.35,1,-0.050000000000001,31,-0.090882545,-0.046875,-0.039999999999999,0,1,0,0,6,333
-1.7,0,-0.009999999999991,0.06781138,-0.99,1,-0.02,23,-0.03441555,-0.0234375,-0.02,0,1,0,0,2,334
-1.7,0,0.199999999999989,0.06653673,-0.140000000000001,1,-0.02,19,0.073037445,-0.0234375,-0.02,0,1,0,0,1,335
-1.7,0,0.254999999999995,0.071252935,-0.27,1,-0.02,27,-0.024345815,-0.015625,-0.02,0,1,0,0,0,336
-1.7,0,0.134999999999991,0.06755645,-0.09,1,-0.02,39,0.04716205,-0.0234375,-0.02,0,1,0,0,0,337
-1.7,0,0.25,0.066154335,0,1,-0.02,39,0.04894656,-0.0234375,-0.02,0,1,0,0,0,338
-1.7,0,0.199999999999989,0.06602687,0,0,-0.030000000000001,0,0.052388115,-0.0234375,-0.02,0,1,0,0,0,339
-56.7,80,-0.455000000000013,0.05531981,0.75,0,-1.79,0,0.15117349,-1.7890625,-1.79,-15.1,1,0,13.7254901945,1,340
-33.6,56,-1.61000000000001,0.06781138,1.39,0,0.109999999999999,0,0.20241442,0.1171875,0.120000000000001,1.19999999999999,1,0,22.7450980366,6,341
108.1,80,8.505,0.13434811,1.15,0,2.34,0,0.147222075,2.3359375,2.33,10.9,1,0,15.686274508,10,342
245.7,136,23.32,0.23886941,0.01,0,3.02,0,-0.042828240000001,2.8984375,2.9,19.3,1,0,0,11,343
405.2,64,34.33,0.23377081,-0.200000000000001,0,2.76,0,0.01937468,2.7265625,2.73,16,1,0,9.8039215675,11,344
449.9,4,40.535,0.219877125,0.23,0,2.99,0,-0.00280423,2.859375,2.85,21.1,1,0,11.764705881,11,345
413,76,43.65,0.262960295,0.629999999999999,0,1.56,0,0.008795085,1.6171875,1.62,3.30000000000001,1,0,13.7254901945,14,346
249.6,248,31.825,0.197953145,1.29,0,0.57,0,0.12058189,0.5390625,0.539999999999999,0.400000000000006,0,0,21.9607843112,17,347
33.6,108,4.94,0.016952845,1.66,0,-0.129999999999999,0,0.18278481,-0.296875,-0.289999999999999,-0.900000000000006,0,0,24.7058823501,23,348
15.6,0,3.11500000000001,0.04971135,1.82,0,0.940000000000001,0,0.18966792,0.7890625,0.789999999999999,0,0,0,25.8823529382,29,349
5.1,0,0.884999999999991,0.03033667,1.72,0,0.5,0,0.186226365,0.5078125,0.510000000000002,-0.400000000000006,0,0,25.8823529382,36,350
-6.5,32,-1.69999999999999,-0.064624755,1.62,0,-2.13,0,0.169400985,-2.1328125,-2.13,-4.5,0,0,25.8823529382,42,351
-4.6,0,-1.50999999999999,-0.03084653,1.59,0,-1.87,0,0.16748901,-1.8828125,-1.88,-3.30000000000001,0,0,25.8823529382,47,352
-2.6,4,-1.35499999999999,-0.001147185,1.43,0,-0.620000000000001,0,0.1555073,-0.625,-0.629999999999999,-0.199999999999989,0,0,25.8823529382,53,353
